Jumlah Data,Waktu Eksekusi (detik),Rows Processed,Time (s)
1000.0,0.7237567901611328,,
1000.0,0.8991074562072754,,
1000.0,0.6856417655944824,,
1000.0,0.8562135696411133,,
1000.0,0.6245090961456299,,
1000.0,0.6105899810791016,,
1000.0,0.72170090675354,,
1000.0,0.7830572128295898,,
1000.0,0.6253793239593506,,
1000.0,1.0369937419891355,,
1000.0,0.9372715950012208,,
1000.0,0.957024335861206,,
1000.0,1.0208070278167725,,
1000.0,0.929976224899292,,
1000.0,0.8879287242889404,,
1000.0,0.8449592590332031,,
1000.0,0.9170691967010498,,
1000.0,0.8773024082183838,,
1000.0,0.845081090927124,,
1000.0,0.9795923233032228,,
1000.0,3.1571414470672607,,
,,1000.0,0.9347710609436036
1000.0,2.870328187942505,,
1000.0,0.8975820541381836,,
100.0,0.0750057697296142,,
10.0,0.0099945068359375,,
100.0,0.0710041522979736,,
1000.0,0.6028788089752197,,
1000.0,0.5960526466369629,,
1000.0,0.7370281219482422,,
1000.0,0.6245417594909668,,
100.0,0.0653400421142578,,
100.0,0.0658433437347412,,
1000.0,0.6256654262542725,,
1000.0,0.6291437149047852,,
1000.0,0.6637778282165527,,
1000.0,0.6097509860992432,,
1000.0,0.6197965145111084,,
